Name,Address,Площадь,Оборот,geometry
Электрика,"Российская Федерация, город Москва, внутригородская территория поселение Краснопахорское, деревня Красная Пахра, дом 144, строение 2",1872,110682818,POINT (37.290882 55.450164)
М.видео,"город Москва, город Щербинка, Железнодорожная улица, дом 44",1717,126097609,POINT (37.568239 55.4990636836659)
Miele,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 1",837,103843057,POINT (37.436024 55.6317677215424)
STO-WATT,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 2",1183,8239558,POINT (37.436024 55.6317677215424)
Салон мебели и света «INTERNO»,"город Москва, Куркинское шоссе, дом 17, корпус 1",892,43414879,POINT (37.396298814072 55.8850206787424)
М.видео,"город Москва, поселение Московский, МКАД, 47-й километр, владение 23",865,85057114,POINT (37.429977 55.658759)
Замена Батареек,"город Москва, поселение Московский, МКАД, 47-й километр, владение 23",1894,123256769,POINT (37.429977 55.658759)
ОнЛайн Трейд,"город Москва, Ленинградский проспект, дом 80, корпус 17",12,142375001,POINT (37.5106747756423 55.8081368582663)
М.видео,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 3",721,48537202,POINT (37.6173738742182 55.6528561532078)
Магазин «Электромонтаж»,"город Москва, улица Академика Варги, дом 4А",445,6209878,POINT (37.478614111293 55.6315405986765)
Bork,"город Москва, Садовая-Спасская улица, дом 3, строение 3",1253,100240910,POINT (37.642136 55.771219)
Re-store,"город Москва, Садовая-Спасская улица, дом 3, строение 3",1293,164863035,POINT (37.642136 55.771219)
М.видео,"город Москва, Садовая-Спасская улица, дом 3, строение 3",1657,29262482,POINT (37.6418126729715 55.7713525530362)
Магазин Электротовары,"город Москва, проспект Вернадского, дом 41, строение 3",1727,127648149,POINT (37.5045886916711 55.6745173346061)
Эльдорадо,"город Москва, Ленинградское шоссе, дом 112/1",1696,109665082,POINT (37.4659628856092 55.8632580699811)
Радио электро комплект,"город Москва, Кронштадтский бульвар, дом 3, строение 3",2357,56859276,POINT (37.4860990637674 55.8401945378322)
Компьютерный Супермаркет «Никс»,"город Москва, Россошанский проезд, дом 3",1156,22532338,POINT (37.6085571555942 55.6004692242145)
М.видео,"город Москва, улица Измайловский Вал, дом 3",1110,162118342,POINT (37.71816144338 55.7810731635771)
Очки,"город Москва, Снайперская улица, дом 9Б",1312,37316063,POINT (37.81567 55.7209887472633)
Технолайн,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 4А",2241,35661294,POINT (37.820952 55.742450753481)
М.Видео,"город Москва, улица Генерала Белова, дом 35",577,80403553,POINT (37.7240833642623 55.6108311210037)
Компьютерный магазин НИКС,"город Москва, Каширское шоссе, дом 96, корпус 1",1755,74834456,POINT (37.7123337642709 55.6149191688342)
Ноутбуки НОТИК,"город Москва, улица Гиляровского, дом 68, строение 1",1649,43430726,POINT (37.6333622536035 55.7887962907149)
М.видео,"город Москва, Рязанский проспект, дом 28, строение 1",43,51914609,POINT (37.7789005702568 55.7191595244187)
Эльдорадо,"город Москва, Литовский бульвар, дом 22",2004,21474381,POINT (37.5372644877993 55.612121270710404)
Пленки.нет,"город Москва, Солнцевский проспект, дом 21",775,101860419,POINT (37.411741 55.647041)
Ситилинк,"город Москва, Амурская улица, дом 7, строение 1",1092,49594877,POINT (37.768945 55.810792)
МПО Электромонтаж,"город Москва, Долгопрудная улица, дом 11А",2067,122410278,POINT (37.5376816488988 55.8933309238365)
Мегафон,"город Москва, Ходынский бульвар, дом 4",2178,6359745,POINT (37.527748 55.7901777673504)
Samsung (фирменный магазин),"город Москва, Ходынский бульвар, дом 4",840,86961065,POINT (37.527748 55.7901777673504)
Магазин «Центр продаж»,"город Москва, улица Барклая, дом 8",1074,12428758,POINT (37.5012420861554 55.7418324921277)
"Магазин «Телевизоры, кондиционеры»","город Москва, улица Барклая, дом 8",260,46832172,POINT (37.5012420861554 55.7418324921277)
Магазин «Электроника»,"город Москва, улица Барклая, дом 8",778,31786732,POINT (37.5012420861554 55.7418324921277)
Магазин «Электротовары»,"город Москва, улица Барклая, дом 8",1531,165963903,POINT (37.5012420861554 55.7418324921277)
Магазин «Электроника»,"город Москва, улица Барклая, дом 8",2131,133546646,POINT (37.501267777158 55.741859715044)
Магазин «Электротовары»,"город Москва, улица Барклая, дом 8",2071,154990321,POINT (37.501267777158 55.741859715044)
Всеинструменты.ру,"город Москва, Енисейская улица, дом 1, строение 1",1968,37150275,POINT (37.6699827273873 55.8497130122061)
Картриджы,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 5, строение 20",1520,115506223,POINT (37.593345 55.79393)
Картриджы,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 5, строение 20",547,165502539,POINT (37.593345 55.79393)
Армейский магазин,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 5, строение 20",940,51659664,POINT (37.593997 55.793982)
Армейский магазин,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 5, строение 20",840,61667263,POINT (37.593997 55.793982)
Духовик.ру,"город Москва, улица Сущёвский Вал, дом 5, строение 20",1905,143442635,POINT (37.593997 55.793982)
Духовик.ру,"город Москва, улица Сущёвский Вал, дом 5, строение 20",2197,96140247,POINT (37.593997 55.793982)
ПРОФИ,"город Москва, улица Сущёвский Вал, дом 5, строение 20",1474,5970462,POINT (37.593345 55.79393)
Духовик.ру,"город Москва, улица Сущёвский Вал, дом 5, строение 20",458,80544806,POINT (37.593997 55.793982)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",211,152552061,POINT (37.592824 55.794143)
СВЕТЛОГРАД,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",2065,158004239,POINT (37.592824 55.794143)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",2348,87479596,POINT (37.592824 55.794143)
МаркетТрейд,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",819,31803854,POINT (37.592824 55.794143)
ТЕХЛЕНД,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",370,170612058,POINT (37.592824 55.794143)
Электроинструменты Stihl,"город Москва, улица Пришвина, дом 26",2132,135266258,POINT (37.6037565183556 55.8846764889933)
Электроинструменты,"город Москва, улица Пришвина, дом 26",1595,18581219,POINT (37.6037565183556 55.8846764889933)
Радио-электротовары,"город Москва, улица Егора Абакумова, дом 14А",743,122745711,POINT (37.7122734605908 55.8800594712097)
Светоник,"город Москва, улица Сущёвский Вал, дом 5, строение 12",1170,112973187,POINT (37.592671 55.796192)
Техника,"город Москва, улица Сущёвский Вал, дом 5, строение 12",820,21599046,POINT (37.592671 55.796192)
Техника,"город Москва, улица Сущёвский Вал, дом 5, строение 12",1991,6536716,POINT (37.592671 55.796192)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 12",911,98037087,POINT (37.590785 55.792599)
Электротовары,"город Москва, 1-я Останкинская улица, дом 53",57,29025922,POINT (37.632120473147 55.8243912150199)
М.видео,"город Москва, Дмитровское шоссе, дом 116Д",2414,101246410,POINT (37.5483733642576 55.9017884735206)
Miele,"город Москва, Дмитровское шоссе, дом 163А, корпус 1",970,111419350,POINT (37.5392234000904 55.9089297337098)
Samsung,"город Москва, Дмитровское шоссе, дом 163А, корпус 1",912,32890835,POINT (37.5392234000904 55.9089297337098)
Re-store,"город Москва, Дмитровское шоссе, дом 163А, корпус 1",296,45532236,POINT (37.5392234000904 55.9089297337098)
Ре-стор Re-store (продукция Apple),"город Москва, проспект Мира, дом 211, корпус 2",1285,24696030,POINT (37.6606184115505 55.8453340585383)
М.видео,"город Москва, проезд Дежнёва, дом 21",1314,134385993,POINT (37.637974 55.870387)
МТС,"город Москва, Хабаровская улица, дом 15",1765,121559493,POINT (37.8233819686803 55.8225297603581)
Люстры,"город Москва, Ивантеевская улица, дом 25А",1886,99865399,POINT (37.7352602174768 55.816787368672)
Комплектующие для компьютеров,"город Москва, Ивантеевская улица, дом 25А",2437,925270,POINT (37.735395 55.816844)
М.видео,"город Москва, Новокосинская улица, дом 14А",443,111078509,POINT (37.85700842831 55.7377288018211)
Новигаторы,"город Москва, проспект Будённого, дом 53, строение 2",581,168475004,POINT (37.740987 55.7585137581423)
Есть контакт,"город Москва, проспект Будённого, дом 53, строение 2",2091,79111740,POINT (37.740987 55.7585137581423)
Smart Store,"город Москва, проспект Будённого, дом 53, строение 2",1050,115696555,POINT (37.740987 55.7585137581423)
Эльдорадо,"город Москва, Зелёный проспект, дом 62А",344,118484526,POINT (37.820313 55.750788)
Ноу-Хау,"город Москва, Святоозерская улица, дом 1А",1589,82778664,POINT (37.884471 55.7149187455069)
Электрика,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Тихорецкий бульвар, владение 1, строение 2",690,5080109,POINT (37.781659 55.678661)
МВидео,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нижегородский, Рязанский проспект, дом 2, корпус 2",797,152892480,POINT (37.731024 55.7299737498649)
"Павильон «Ремонт и продажа ПК, комплектующих и аксессуаров для ПК»","город Москва, Новочеркасский бульвар, дом 41, корпус 1",332,83104151,POINT (37.7371880559331 55.6481071416678)
Электротовары,"город Москва, Волгоградский проспект, дом 32, корпус 8",1543,119993699,POINT (37.6889756782161 55.7227755342763)
Home&cook,"город Москва, улица Перерва, дом 43, корпус 1",2110,62315506,POINT (37.751556 55.660383)
М.видео,"город Москва, шоссе Энтузиастов, дом 12, корпус 2",1988,119811596,POINT (37.7069724852105 55.7474041431465)
Artlustra,"город Москва, Рязанский проспект, дом 2, корпус 3",1888,22273914,POINT (37.7345917918087 55.7292751213008)
Электромаркет Теплые полы,"город Москва, Рязанский проспект, дом 2, корпус 3",607,55945528,POINT (37.7345917918087 55.7292751213008)
М.видео,"город Москва, улица Обручева, дом 34/63, строение 1",631,107524801,POINT (37.539395999999996 55.6542257279973)
Эльдорадо,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, Профсоюзная улица, дом 56",2057,21073223,POINT (37.5524171930741 55.6701313611699)
ПРЕМЬЕР ТЕХНО ЭЛЕКТРОНИКА,"город Москва, Профсоюзная улица, дом 56",2402,113130063,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",1920,64752524,POINT (37.552200036195 55.669789264548)
Samsung,"город Москва, Профсоюзная улица, дом 56",2222,167172415,POINT (37.552200036195 55.669789264548)
ТЕХНОПАРК ЦЕНТР,"город Москва, Профсоюзная улица, дом 56",1363,62216849,POINT (37.552200036195 55.669789264548)
«Smart» Ремонт ноутбуков и телефонов,"город Москва, Профсоюзная улица, дом 56",159,65974768,POINT (37.5524369258091 55.6701062668795)
ЭЛЕКТРИКА,"город Москва, Профсоюзная улица, дом 56",1275,31108720,POINT (37.552200036195 55.669789264548)
Электрика,"город Москва, Профсоюзная улица, дом 56",964,101565797,POINT (37.552200036195 55.669789264548)
Мир Эспрессо,"город Москва, Профсоюзная улица, дом 56",2394,123878803,POINT (37.552200036195 55.669789264548)
Батарейки и лампочки,"город Москва, Профсоюзная улица, дом 56",2444,154015528,POINT (37.552200036195 55.669789264548)
Техника,"город Москва, Профсоюзная улица, дом 56",2173,50278972,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",1559,45683397,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",173,174441005,POINT (37.552200036195 55.669789264548)
Мегафон,"город Москва, Профсоюзная улица, дом 56",308,81387885,POINT (37.552200036195 55.669789264548)
Ре-стор Re-store (продукция Apple),"город Москва, Профсоюзная улица, дом 56",1880,127541592,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",699,70360491,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",1103,122495435,POINT (37.552200036195 55.669789264548)
Samsung,"город Москва, Профсоюзная улица, дом 56",1536,21296478,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",2386,93666103,POINT (37.552200036195 55.669789264548)
Rock&Blues,"город Москва, Профсоюзная улица, дом 56",875,78907197,POINT (37.552200036195 55.669789264548)
Декоративные светильники,"город Москва, Профсоюзная улица, дом 56",2388,31406602,POINT (37.552200036195 55.6697899264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",1421,57998623,POINT (37.552200036195 55.669789264548)
Багет студио,"город Москва, Профсоюзная улица, дом 56",1878,171819098,POINT (37.552200036195 55.669789264548)
"Аудио, видео-аппаратура","город Москва, Профсоюзная улица, дом 56",391,156100724,POINT (37.552200036195 55.669789264548)
Диски для игровых приставок,"город Москва, Профсоюзная улица, дом 56",2052,164695403,POINT (37.552200036195 55.669789264548)
ОНЛАЙН ТРЕЙД.РУ,"город Москва, Профсоюзная улица, дом 56",1232,86120666,POINT (37.552200036195 55.6697)
Электротовары,"город Москва, Профсоюзная улица, дом 56",1148,92045482,POINT (37.552200036195 55.669789264548)
ФИЛИППОВ СЕРГЕЙ ВЛАДИМИРОВИЧ,"город Москва, Профсоюзная улица, дом 56",1813,96753849,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",1825,33880149,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",524,178834112,POINT (37.552200036195 55.669789264548)
Электроника,"город Москва, Профсоюзная улица, дом 56",1076,169852292,POINT (37.552200036195 55.669789264548)
Электротовары,"город Москва, Профсоюзная улица, дом 56",445,45151159,POINT (37.552200036195 55.669789264548)
Даджет,"город Москва, Профсоюзная улица, дом 56",707,166582585,POINT (37.552200036195 55.669789264548)
Картриджи заправка аксессуары,"город Москва, Профсоюзная улица, дом 56",2340,146088724,POINT (37.552200036195 55.669789264548)
Торвин,"город Москва, Профсоюзная улица, дом 56",143,5698937,POINT (37.552200036195 55.669789264548)
М.видео,"город Москва, Новоясеневский проспект, дом 1",644,150604854,POINT (37.5092043276105 55.6194850031092)
Эльдорадо,"город Москва, Профсоюзная улица, дом 129А",225,164842999,POINT (37.5068001398275 55.6188471438345)
TOCHINI SVET,"город Москва, Нахимовский проспект, дом 24, строение 1",140,36525550,POINT (37.5850006919885 55.671801955513104)
Галерея безупречной электроники,"город Москва, Нахимовский проспект, дом 24, строение 1",937,26134846,POINT (37.5850006919885 55.671801955513104)
Олимпия инструмент,"город Москва, Нахимовский проспект, дом 24, строение 1",561,107905567,POINT (37.5850006919885 55.671801955513104)
Студио С.Б.,"город Москва, Нахимовский проспект, дом 24, строение 1",1373,92114567,POINT (37.5850006919885 55.671801955513104)
Телеком Центр,"город Москва, Нахимовский проспект, дом 24, строение 1",1552,133199473,POINT (37.5850006919885 55.671801955513104)
СВЕТ ВОКРУГ,"город Москва, Нахимовский проспект, дом 24, строение 1",2370,112712900,POINT (37.5850006919885 55.671801955513104)
1 Световая Компания,"город Москва, Нахимовский проспект, дом 24, строение 1",1761,166332744,POINT (37.5850006919885 55.671801955513104)
Lightstar,"город Москва, Нахимовский проспект, дом 24, строение 1",1637,43589963,POINT (37.5850006919885 55.671801955513104)
Электро Хит,"город Москва, Нахимовский проспект, дом 24, строение 1",1698,48148893,POINT (37.5850006919885 55.671801955513104)
Электродом,"город Москва, Нахимовский проспект, дом 24, строение 1",143,28607134,POINT (37.5850006919885 55.671801955513104)
Электродом,"город Москва, Нахимовский проспект, дом 24, строение 1",1258,93392672,POINT (37.5850006919885 55.671801955513104)
М.видео,"город Москва, Ленинский проспект, дом 109",2482,131175558,POINT (37.5112978768212 55.6637832242678)
Re-store,"город Москва, Ленинский проспект, дом 109",1703,163860828,POINT (37.5112978768212 55.6637832242678)
Bork,"город Москва, Ленинский проспект, дом 109",617,37147034,POINT (37.5112978768212 55.6637832242678)
М.видео,"город Москва, Новоясеневский проспект, дом 7",81,83085931,POINT (37.532367 55.607489)
Магазин Домашняя Медтехника,"город Москва, внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 5А",1738,41618762,POINT (37.5806135025294 55.570046708507)
Samsung,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 3, корпус 1",142,67055947,POINT (37.467093 55.6779067348178)
Re-Store,"город Москва, Рублёвское шоссе, дом 62",2007,79193498,POINT (37.381221 55.766772)
Мегафон,"город Москва, Рублёвское шоссе, дом 62",813,27494142,POINT (37.381221 55.766772)
МТС,"город Москва, Рублёвское шоссе, дом 62",945,104286428,POINT (37.381221 55.766772)
Салон связи «Мегафон»,"город Москва, Осенний бульвар, дом 12",539,27395153,POINT (37.4092114846751 55.7592412415116)
МТС,"город Москва, Осенний бульвар, дом 10",2330,101606748,POINT (37.4090376486769 55.7577794714612)
МАГАЗИН ЭЛЕКТРОТОВАРОВ,"город Москва, Планерная улица, дом 6, корпус 2",2434,11913392,POINT (37.436097 55.859933787727)
ЭЛЕКТРОТОВАРЫ «МАЛЕНЬКИЕ МОТОРЫ»,"город Москва, Митинская улица, дом 55, корпус 1",1894,112591667,POINT (37.351229855502 55.8546464723075)
МТС,"город Москва, 3-й Митинский переулок, дом 3",1271,139608852,POINT (37.3497408354844 55.8474324165667)
М.видео,"город Москва, Митинская улица, дом 36, корпус 1",1260,40127527,POINT (37.3619866280849 55.8465533425714)
Запчасти и сопутствующие товары к бытовой технике,"город Москва, Пятницкое шоссе, дом 18",1866,177985395,POINT (37.3837368002486 55.844469687365)
Радиодетали,"город Москва, Пятницкое шоссе, дом 18",573,123747967,POINT (37.3837368002486 55.844469687365)
Компьютерные аксессуары,"город Москва, Пятницкое шоссе, дом 18",1925,56101395,POINT (37.3837368002486 55.844469687365)
Компьютеры,"город Москва, Пятницкое шоссе, дом 18",1181,3299203,POINT (37.3837368002486 55.844469687365)
Радиодетели,"город Москва, Пятницкое шоссе, дом 18",78,44288383,POINT (37.3837368002486 55.844469687365)
Электротовары,"город Москва, Пятницкое шоссе, дом 18",1431,161574831,POINT (37.3837368002486 55.844469687365)
"Батарейки, часы, фонари","город Москва, Пятницкое шоссе, дом 18",1402,53003990,POINT (37.3837368002486 55.844469687365)
"Кабель, разъемы","город Москва, Пятницкое шоссе, дом 18",1290,22173824,POINT (37.3837368002486 55.844469687365)
"Аудио-,видеошнуры, переходники, кабель","город Москва, Пятницкое шоссе, дом 18",967,89366397,POINT (37.3837368002486 55.844469687365)
"Картриджи, принтеры","город Москва, Пятницкое шоссе, дом 18",1435,153381691,POINT (37.3837368002486 55.844469687365)
"Антенны, спутниковое тв","город Москва, Пятницкое шоссе, дом 18",780,44417971,POINT (37.3837368002486 55.844469687365)
Электромонтажные изделия,"город Москва, Пятницкое шоссе, дом 18",146,13585299,POINT (37.3837368002486 55.844469687365)
Автосигнализации,"город Москва, Пятницкое шоссе, дом 18",1245,42791475,POINT (37.3837368002486 55.844469687365)
Телевизоры,"город Москва, Пятницкое шоссе, дом 18",1752,21045587,POINT (37.3837368002486 55.844469687365)
"Радиодетали, вентиляторы","город Москва, Пятницкое шоссе, дом 18",1462,24573439,POINT (37.3837368002486 55.844469687365)
"Флешки, видеорегистраторы","город Москва, Пятницкое шоссе, дом 18",2478,88815192,POINT (37.3837368002486 55.844469687365)
Запчасти к телефонам,"город Москва, Пятницкое шоссе, дом 18",2496,173256451,POINT (37.3837368002486 55.844469687365)
Телевизоры,"город Москва, Пятницкое шоссе, дом 18",818,11894197,POINT (37.3837368002486 55.844469687365)
Премьер-техника,"город Москва, Пятницкое шоссе, дом 18",1253,33696334,POINT (37.3837368002486 55.844469687365)
Запчасти,"город Москва, Пятницкое шоссе, дом 18",1131,178027638,POINT (37.3837368002486 55.844469687365)
"Компьютеры, ноутбуки","город Москва, Пятницкое шоссе, дом 18",936,60690938,POINT (37.3837368002486 55.844469687365)
"Компьютеры, оргтехника","город Москва, Пятницкое шоссе, дом 18",330,66813371,POINT (37.3837368002486 55.844469687365)
Бытовая техника,"город Москва, Пятницкое шоссе, дом 18",937,73197264,POINT (37.3837368002486 55.844469687365)
РС. Компьютеры и ноутбуки,"город Москва, Пятницкое шоссе, дом 18",734,51042443,POINT (37.3837368002486 55.844469687365)
Контакт,"город Москва, Пятницкое шоссе, дом 18",334,137375593,POINT (37.3837368002486 55.844469687365)
Крупная бытовая техника,"город Москва, Пятницкое шоссе, дом 18",2029,14350136,POINT (37.3837368002486 55.844469687365)
Радиодетали,"город Москва, Пятницкое шоссе, дом 18",1319,135092306,POINT (37.3837368002486 55.844469687365)
Электротовары,"город Москва, Пятницкое шоссе, дом 18",428,157925467,POINT (37.3837368002486 55.844469687365)
Силовые кабели,"город Москва, Пятницкое шоссе, дом 18",1089,98318009,POINT (37.3837368002486 55.844469687365)
Телевизоры,"город Москва, Пятницкое шоссе, дом 18",1421,81613840,POINT (37.3837368002486 55.844469687365)
Запчасти,"город Москва, Пятницкое шоссе, дом 18",1347,108655178,POINT (37.3837368002486 55.844469687365)
"Приборы для техники, электрооборудование","город Москва, Пятницкое шоссе, дом 18",2187,33835221,POINT (37.383642 55.844324)
Антенны,"город Москва, Пятницкое шоссе, дом 18",2301,48471480,POINT (37.383642 55.844324)
"Люстры, Музыкальные инструменты","город Москва, Пятницкое шоссе, дом 18",1216,150047639,POINT (37.383642 55.844324)
Электроника,"город Москва, Пятницкое шоссе, дом 18",2129,79295835,POINT (37.383642 55.844324)
Антенны,"город Москва, Пятницкое шоссе, дом 18",1544,161400365,POINT (37.383642 55.844324)
Радиодетали,"город Москва, Пятницкое шоссе, дом 18",1233,61301949,POINT (37.383642 55.844324)
Светодиодная продукция,"город Москва, Пятницкое шоссе, дом 18",1936,153794294,POINT (37.383642 55.844324)
Электроника,"город Москва, Пятницкое шоссе, дом 18",1174,166720099,POINT (37.383642 55.844324)
Бытовое электрооборудование,"город Москва, Пятницкое шоссе, дом 18",2381,161892485,POINT (37.383642 55.844324)
Радиодетали,"город Москва, Пятницкое шоссе, дом 18",2328,176583233,POINT (37.383642 55.844324)
Электронные компоненты,"город Москва, Пятницкое шоссе, дом 18",611,18432998,POINT (37.383642 55.844324)
Видеонаблюдение,"город Москва, Пятницкое шоссе, дом 18",35,37245399,POINT (37.383642 55.844324)
Информационные носители,"город Москва, Пятницкое шоссе, дом 18",339,9574351,POINT (37.383642 55.844324)
Электроника,"город Москва, Пятницкое шоссе, дом 18",1149,130244850,POINT (37.383642 55.844324)
Расходные материалы,"город Москва, Пятницкое шоссе, дом 18",314,72334473,POINT (37.383642 55.844324)
Электроника,"город Москва, Пятницкое шоссе, дом 18",2126,82629378,POINT (37.383642 55.844324)
Светодиодная продукция,"город Москва, Пятницкое шоссе, дом 18",2300,28635644,POINT (37.383642 55.844324)
Компьютеры и аксессуары,"город Москва, Пятницкое шоссе, дом 18",911,97678180,POINT (37.383642 55.844324)
Электроника,"город Москва, Пятницкое шоссе, дом 18",2145,51672872,POINT (37.383642 55.844324)
Электромузыкальное оборудование,"город Москва, Пятницкое шоссе, дом 18",1803,64205481,POINT (37.383642 55.844324)
Светодиоды,"город Москва, Пятницкое шоссе, дом 18",2208,138577551,POINT (37.383642 55.844324)
Бытовая техника,"город Москва, Пятницкое шоссе, дом 18",1976,104859720,POINT (37.3837368002486 55.844469687365)
Оборудование для ремонта цифровых устройств,"город Москва, Пятницкое шоссе, дом 18",1888,121059413,POINT (37.383642 55.844324)
Автомобильная электроника,"город Москва, Пятницкое шоссе, дом 18",2454,135719085,POINT (37.383642 55.844324)
Системы видеонаблюдения,"город Москва, Пятницкое шоссе, дом 18",1174,177244959,POINT (37.383642 55.844324)
